string                                                                                                                                                                                  count
BIS-TRS                                                                                                                                                                                 1    
DIAMINO-PENTANE-DIHYDROCHLORIDE                                                                                                                                                         1    
LEADOAC                                                                                                                                                                                 1    
MCSG1B1                                                                                                                                                                                 1    
5-CYCLOHEXYLVALEROYL-TRYPTOPHAN                                                                                                                                                         1    
RIFAMPICIN                                                                                                                                                                              1    
TRIS BIS PROPANE                                                                                                                                                                        1    
ENDOH-DIGESTED DS-CAV1 F-VHH-4                                                                                                                                                          1    
ENDOH-DIGESTED DS-CAV1 F-VHH-L66                                                                                                                                                        1    
BIS TRIS PROPANE PH                                                                                                                                                                     1    
PEG 3 KDA                                                                                                                                                                               1    
CE CHLORIDE                                                                                                                                                                             1    
M1                                                                                                                                                                                      1    
ALPHA-THROMBIN                                                                                                                                                                          1    
1 H                                                                                                                                                                                     1    
GERANYLGERANYL PYROPHOSPHATE                                                                                                                                                            1    
NA3 CITRATE 20 MICROGRAM/ML SUBTILISIN                                                                                                                                                  1    
1,2-DICAPROYL-SN-GLYCEROL3-PHOSPHO-SERINE                                                                                                                                               1    
AMMONIUM AMMONIUM ACETATE                                                                                                                                                               1    
INDIGO CARMINE                                                                                                                                                                          1    
ALCOHOL  PROTEIN MOLECULAR DIMESIONS                                                                                                                                                    1    
OOR                                                                                                                                                                                     1    
SODIUM CACODYLATE BRMEA.01059..A1 PS01278 81                                                                                                                                            1    
DGDG                                                                                                                                                                                    1    
DI-SODIUM CACODYLATE                                                                                                                                                                    1    
CALCIUM CHLORIDE HEPES 100 MM                                                                                                                                                           1    
O-(N-OCTYL)-PHOSPHORYLCHOLINE                                                                                                                                                           1    
4,7-DIOXO-SEBACIC ACID                                                                                                                                                                  1    
SODIUM ACETATE WE                                                                                                                                                                       1    
CHLOROPHYLL PSII C12E8                                                                                                                                                                  1    
TRI-NA-CITRATE PROTEIN                                                                                                                                                                  1    
OCTYL GLUCOSENEOPENTYL GLYCOL OGNG                                                                                                                                                      1    
AETYL-COENZYME A                                                                                                                                                                        1    
ACTEYL-COENZYME A                                                                                                                                                                       1    
S38000 MCSG                                                                                                                                                                             1    
NEGOA.00164..B1.PS38233 MICROLYTIC MCSG1 G6                                                                                                                                             1    
SODIUM ACETATE/HYDROCHLORIC ACID                                                                                                                                                        1    
G9                                                                                                                                                                                      1    
DHX36                                                                                                                                                                                   1    
TCEP 0.2 UL MCSG 3                                                                                                                                                                      1    
1,2-PROPANODIOL                                                                                                                                                                         1    
PROTEINB1                                                                                                                                                                               1    
L-ALANINE,L-GLU                                                                                                                                                                         1    
.-LIKE                                                                                                                                                                                  1    
50 UL                                                                                                                                                                                   1    
SODIUM TRIS CITRATE                                                                                                                                                                     1    
TRIS CHLORIDE CLASSICS D7                                                                                                                                                               1    
TRIS CHLORIDE PEGS II B8                                                                                                                                                                1    
MAGNESIUM CHLORIDE PROTEIN:                                                                                                                                                             1    
X PEPTIDE                                                                                                                                                                               1    
REVERSINE                                                                                                                                                                               1    
RAC-IV-101                                                                                                                                                                              1    
SODIUM PHOSPHATE CELLOTRIOSE 5 MM                                                                                                                                                       1    
TRIS PEG 600PC                                                                                                                                                                          1    
LYRAA.17086..D14 PD00142                                                                                                                                                                1    
CITRATE ID 216420A8                                                                                                                                                                     1    
POLYETHYLENE PEG 3350                                                                                                                                                                   1    
COIMA.00559..A1 PS00460                                                                                                                                                                 1    
POTASSIUM HYDROGEN TARTRATE                                                                                                                                                             1    
THIOXOLONE                                                                                                                                                                              1    
PEG 4000 PROTEIN                                                                                                                                                                        1    
CMP2                                                                                                                                                                                    1    
CMP3                                                                                                                                                                                    1    
S-ADENOSYLMETHIONINE CHLORIDE                                                                                                                                                           1    
NON- SULFOBETAINE (NDSB)-211                                                                                                                                                            1    
TCEP 0.2 UL TOP96                                                                                                                                                                       1    
3 UL 21                                                                                                                                                                                 1    
MOPS-HEPES                                                                                                                                                                              1    
RAC-IV-016                                                                                                                                                                              1    
GLYCEROL SUIA DTT                                                                                                                                                                       1    
SAM SAM 10.5 MM                                                                                                                                                                         1    
TBIA(BETA) T(-5)E                                                                                                                                                                       1    
CALICHEAMICIN                                                                                                                                                                           1    
M HEPES                                                                                                                                                                                 1    
HEPES PROTEIN PRE-2                                                                                                                                                                     1    
EQUIVALENTS NI CHLORIDE                                                                                                                                                                 1    
PEG MONO-ETHYL ETHER 2000                                                                                                                                                               1    
10 MILLIM TRIS MILLIM DIOTHIOTHREITOL                                                                                                                                                   1    
ISOPROPANOL PEGRX-2 # 26                                                                                                                                                                1    
PEG MME 2000,2-D                                                                                                                                                                        1    
16A                                                                                                                                                                                     1    
HMGDM13A                                                                                                                                                                                1    
DNA DUPLEX GCGATATCGC                                                                                                                                                                   1    
SODIUM I3C                                                                                                                                                                              1    
EBP (DIETHYL 4-METHYLBENZYLPHOSPHONATE)                                                                                                                                                 1    
1-NAPHTHYLACETIC ACID                                                                                                                                                                   1    
MES NEXT                                                                                                                                                                                1    
KP                                                                                                                                                                                      1    
THIOISATIN BENZO[B]THIOPHENE-2,3-DIONE                                                                                                                                                  1    
BLS                                                                                                                                                                                     1    
O,O'-BIS(2-AMINOETHYL)ETHYLENE GLYCOL-N,N,N',N'-TETRAACETIC ACID (EGTA) CON-SISTING                                                                                                     1    
BUTYLHY-DROXYTOLUENE BHT                                                                                                                                                                1    
BLLB                                                                                                                                                                                    1    
R-IBUPROPHEN                                                                                                                                                                            1    
W V-1 PEG 4000                                                                                                                                                                          1    
SUCCINATE/ PHOSPHATE/GLYCINE SUCCINATE PHOSPHATE GLYCINE                                                                                                                                1    
MALONATE/ IMIDAZOLE/BORIC MIB                                                                                                                                                           1    
AMMONIUM SULFATE S                                                                                                                                                                      1    
4-CYCLOHEXYL-1-BUTYL--D-MALTOSIDE                                                                                                                                                       1    
TRIS 0.2 AMMONIUM SULFATE                                                                                                                                                               1    
MYO-INOSITOL 1,4,5-TRISPHOSPHATE                                                                                                                                                        1    
PHOSPHOCHOLINE                                                                                                                                                                          1    
L-FUCONATE                                                                                                                                                                              1    
246 SMILES CODE CC1CCC C(CNC(O)C2CCCO2)C(O)N1                                                                                                                                           1    
247 SMILES CODE CC1CC C(CC1)C(O)NCC1NNC2CCCCN12                                                                                                                                         1    
248 SMILES CODE OC(NC1 NC2CCCCC2N1)C1COCC1                                                                                                                                              1    
DRNN                                                                                                                                                                                    1    
AMMONIUM ACETATE 0.5 UL                                                                                                                                                                 1    
242 SMILES CODE CC1CCN(CC1)C(O)C1CCC2NC(O)COC2C1                                                                                                                                        1    
243 SMILES CODE CC1 CC(C(O)O)CCN1C1CCCNC1                                                                                                                                               1    
244 SMILES CODE FC1CC C(NC(O)CNC(O)NC2CCCC2)CC1                                                                                                                                         1    
238 SMILES CODE [O-][N ]( O)C1CCC(S1)C(O)NC1CC1                                                                                                                                         1    
XI                                                                                                                                                                                      1    
240 SMILES CODE CNCC1NC CN1C                                                                                                                                                            1    
241 SMILES CODE OC1NCCC C1C(O)NC1CCCC2C1CCCC2                                                                                                                                           1    
235 SMILES CODE CC1CC(O) N2NC(NCC3CCCCC3F)SC2N1                                                                                                                                         1    
236 SMILES CODE CNCC1CC( CCC1CL)[N ]([O-])O                                                                                                                                             1    
237 SMILES CODE CCCC C1CSC(NC(O)CN2CCCCC2O)N1                                                                                                                                           1    
258 SMILES CODE CCCN1N CC2C1NCC(C2)C(O)NCC1CC1                                                                                                                                          1    
NAD CO-ON 11/19/2014                                                                                                                                                                    1    
260 SMILES CODE OC(NC[CAT H]1CCCO1)C1CCCCC1                                                                                                                                             1    
254 SMILES CODE OC(NC1 CCCCN1)C1CCCC2CCCNC12                                                                                                                                            1    
188 SMILES CODE CNCC1 NC(CC#N)CS1                                                                                                                                                       1    
256 SMILES CODE O C(N1CCNC(O)C1)C1(CC1)C1CCCCC1                                                                                                                                         1    
257 SMILES CODE CN1NC(C( O)NCC2CC2)C2CCCCC2C1O                                                                                                                                          1    
250 SMILES CODE CN1C CC(NC(O)C2COC(BR)C2)N1                                                                                                                                             1    
251 SMILES CODE C[CAT H] [CAT H](O)NCC1CCC(CC1)N1CCCC1O                                                                                                                                 1    
D-GTP                                                                                                                                                                                   1    
253 SMILES CODE C[CAT H] (CN)N1C[CAT H]CO[CAT H]CC1                                                                                                                                     1    
HEPTANE-1,2,3-TRIOL                                                                                                                                                                     1    
186 SMILES CODE [O-]\C(C/ C(O)C1CCNCC1)C(F)(F)F                                                                                                                                         1    
TRYPANOTHIONE                                                                                                                                                                           1    
GALACTOSE DHAPS                                                                                                                                                                         1    
PEG 3350 2X PROTEIN 1X                                                                                                                                                                  1    
CITRATE PROTEIN PEPTIDE                                                                                                                                                                 1    
ID 200296C11                                                                                                                                                                            1    
AMMONIUM MALONATE                                                                                                                                                                       1    
PEG MME 550 II                                                                                                                                                                          1    
N2-ATMOSPHERE GLOVE                                                                                                                                                                     1    
181 SMILES CODE C[CAT H] [CAT H]CCN(CC2NC(N)NC(N2)NCC)C1                                                                                                                                1    
233 SMILES CODE CCC(O) NC1NNC(S1)C(F)(F)F                                                                                                                                               1    
178 SMILES CODE CC1CCN(CCCNS(O)(O)C2CCCS2)CC1                                                                                                                                           1    
229 SMILES CODE CC1CC(O) N2C3C(CCCC3)C(C#N)C2N1                                                                                                                                         1    
LAMBDA-[RU(PHENANTHROLINE)2DIPYRIDOPHENAZINE] CHLORIDE                                                                                                                                  1    
231 SMILES CODE CC1 CN2C[CAT H](O)CNC2CC1                                                                                                                                               1    
179 SMILES CODE CC1NN2[CAT H](CCNC2C1)C(F)(F)F                                                                                                                                          1    
225 SMILES CODE NNC(O)C1 CC(BR)C(BR)S1                                                                                                                                                  1    
226 SMILES CODE FC(F)(F) [CAT H][CAT H](NC2C(CNN12)C#N)C1CC1                                                                                                                            1    
227 SMILES CODE OC(O)C1 CCC(CBR)CC1                                                                                                                                                     1    
228 SMILES CODE CS(O)(O) NC1CCCC1                                                                                                                                                       1    
POTASSIUM PHOSPHATE PH 8.00                                                                                                                                                             1    
BABR2                                                                                                                                                                                   1    
177 SMILES CODE CN1CC C2CNNC(CL)C2C1C                                                                                                                                                   1    
TRIS CHLORIDEOSAN                                                                                                                                                                       1    
SODIUM CITRATE HCL MESO 7.9 MONOACYLGLYCEROL(7.9 MAG)  HOSTING LIPID                                                                                                                    1    
NEWMAN CITRATE:HEPES: CHES                                                                                                                                                              1    
BETAINE  OBSERVED                                                                                                                                                                       1    
AMMONIUM CITRATE CITRATE                                                                                                                                                                1    
JEFFAMINE 1500                                                                                                                                                                          1    
D-MALTOSE                                                                                                                                                                               1    
GLYCEROLD12                                                                                                                                                                             1    
2-(CYCLOHEXYLAMINO)-ETHANESULFONIC ACID (CHES                                                                                                                                           1    
CHLORAMPHENICOL                                                                                                                                                                         1    
FLURBIPORFEN                                                                                                                                                                            1    
SODIUM TETRATHIONATE                                                                                                                                                                    1    
PEG 4000,100-NAOAC                                                                                                                                                                      1    
COHEX                                                                                                                                                                                   1    
R-2-HYDROXYISOCAPROATE 10                                                                                                                                                               1    
ACETYL-COA                                                                                                                                                                              1    
ME: JEFFAMINE ED-2003                                                                                                                                                                   1    
PEG 2,000 MME                                                                                                                                                                           1    
CIS-INOSITOL                                                                                                                                                                            1    
RIFAMYCIN CGP 4832                                                                                                                                                                      1    
PSPP                                                                                                                                                                                    1    
MAGNESIUM CHLORIDE PROTEASE                                                                                                                                                             1    
BENZYLTRIETHYLAMMONIUM CHLORIDE 4 UL                                                                                                                                                    1    
1,4,7,10-TETRAAZACYCLODODECANE-1,4,7,10-TETRAACETIC ACID                                                                                                                                1    
167 SMILES CODE NC1NC( CS1)C1CC2C(NC(O)N2)CC1                                                                                                                                           1    
AHH                                                                                                                                                                                     1    
1/1.5 MOLAR                                                                                                                                                                             1    
DICAMBA                                                                                                                                                                                 1    
DICAMBA 5-6 PLUNGE                                                                                                                                                                      1    
163 SMILES CODE CN(CC(O) NC1CC1)S(O)(O)C1CCC(BR)S1                                                                                                                                      1    
EHCHA.00493..A2 PS01157                                                                                                                                                                 1    
IODIDE                                                                                                                                                                                  1    
LAYER GLYCEROLDDED                                                                                                                                                                      1    
CM1                                                                                                                                                                                     1    
3-(1-METHYLPIPERIDINIUM-1-YL) PROPANE-1-SULFONATE) 1 UL                                                                                                                                 1    
HEPES NL 200 NL                                                                                                                                                                         1    
HEPES NL 150 NL.-SITU THROMBIN TREATMENT HIS                                                                                                                                            1    
MALATE/TRIS MES NL PROTEIN                                                                                                                                                              1    
NDSB 211 (DIMETHYL(2-HYDROXYETHYL)AMMONIUM PROPANE SULFONATE)                                                                                                                           1    
20 TRIS 8.0 100SODIUM CHLORIDE-0.056 SODIUM PHOSPHATE                                                                                                                                   1    
SODIUM ACETATE MICROLITER                                                                                                                                                               1    
COASH                                                                                                                                                                                   1    
MAGNESIUM CHLORIDE AMP                                                                                                                                                                  1    
MOPS AMP                                                                                                                                                                                1    
MES B                                                                                                                                                                                   1    
TRIS NL PROTEIN 110 NL 40 NL                                                                                                                                                            1    
PI-CITRATE                                                                                                                                                                              1    
ALCOHOL GORREC                                                                                                                                                                          1    
EQ                                                                                                                                                                                      1    
EQ)                                                                                                                                                                                     1    
S-ADENOSYLHOMOCYSTEINE A4                                                                                                                                                               1    
Y157F-CDO                                                                                                                                                                               1    
SODIUM CITRATE MAGNESIUM CHLORIDE                                                                                                                                                       1    
2,4-MPD                                                                                                                                                                                 1    
12.5 UM                                                                                                                                                                                 1    
CETYL TRIMETHYLAMMONIUM BROMIDE CETYL TRIMETHYLAMMONIUM BROMIDE                                                                                                                         1    
SODIUM PHOSPHATE 6.300 PH                                                                                                                                                               1    
TRIPOTASSIUM PHOSPHATE                                                                                                                                                                  1    
SODIUM POTASSIUM TARTRATE PROTEIN CO                                                                                                                                                    1    
1,4-BETA-D-CELLOHEXAOSEIN                                                                                                                                                               1    
ZINC ACATE                                                                                                                                                                              1    
159 SMILES CODE C[CAT H] (N1CCCCCC1)C(O)C1CNC2CCCCC12                                                                                                                                   1    
PHOSPHORYLETHANOLAMINE                                                                                                                                                                  1    
TRISD                                                                                                                                                                                   1    
158 SMILES CODE CCCC1 NOC(NC(O)CN2CCCCCC2)C1                                                                                                                                            1    
BICINE 9                                                                                                                                                                                1    
PRO9                                                                                                                                                                                    1    
ID 203314G9                                                                                                                                                                             1    
SU11652                                                                                                                                                                                 1    
153 SMILES CODE CCC CN1NS(O)(O)C2CCCCC2C1O                                                                                                                                              1    
MYSMA00762BA1 PS00603 B2                                                                                                                                                                1    
PEG NNE                                                                                                                                                                                 1    
HEPARIN HEXAMER                                                                                                                                                                         1    
480 ETHYLENE GLYCOL                                                                                                                                                                     1    
ACETATE ( PH 5)                                                                                                                                                                         1    
AEAA                                                                                                                                                                                    1    
GLYCINE ETHYL ESTER                                                                                                                                                                     1    
GLYCINE PH8                                                                                                                                                                             1    
DTDP-PHENOL                                                                                                                                                                             1    
327 SMILES CODE CNC C1(CN)CCCC1                                                                                                                                                         1    
TRIS E3                                                                                                                                                                                 1    
2-AMINOBENZENEDISULFONIC ACID                                                                                                                                                           1    
M-BENZENEDISULFONIC ACID DISODIUM                                                                                                                                                       1    
SODIUM CACODYLATENA                                                                                                                                                                     1    
